Date,Open,High,Low,Close,Adj Close,Volume,Change
21-Jan-25,21.31,21.71,21.51,21.53,21.53,"32,900",
1-Jan-25,23.1,23.35,20.87,21.5,21.5,"16,020,854",0.998606595
1-Dec-24,23.56,24.5,23.11,23.19,23.19,"36,442,030",1.078604651
1-Nov-24,23.16,25.27,22.71,23.6,23.6,"52,344,698",1.017680034
1-Oct-24,27.57,27.81,22.84,23.03,23.03,"49,385,530",0.975847458
1-Sep-24,20.51,25.5,19.4,25.3,25.3,"28,099,603",1.098567086
1-Aug-24,22.14,22.33,19.84,20.58,20.58,"24,227,356",0.813438735
1-Jul-24,21.4,22.17,20.73,22.14,22.14,"23,301,044",1.075801749
17-Jun-24,0.50 Dividend,,,,,,
1-Jun-24,24.07,24.35,21.29,21.35,20.88,"24,469,938",0.943089431
1-May-24,24.37,26.05,23.91,24.09,23.56,"43,201,713",1.12835249
1-Apr-24,22.8,27.23,22.8,24.12,23.59,"93,665,669",1.001273345
1-Mar-24,22.95,23.65,22.28,22.74,22.24,"29,921,719",0.942772361
1-Feb-24,21.42,23.46,19.7,23,22.5,"41,237,026",1.011690647
1-Jan-24,24.14,24.16,21.28,21.42,20.95,"37,858,035",0.931111111
1-Dec-23,26.25,26.33,23.33,24.14,23.61,"37,774,077",1.126968974
1-Nov-23,27.88,28.39,25.92,26.22,25.65,"33,990,231",1.086404066
1-Oct-23,29.62,29.95,27.29,27.55,26.95,"24,217,689",1.050682261
1-Sep-23,30.81,31.41,29.59,29.62,28.97,"25,979,108",1.074953618
1-Aug-23,32.7,33.45,30.43,30.81,30.14,"32,883,384",1.040386607
1-Jul-23,30.86,33.1,30.59,32.63,31.92,"28,492,854",1.059057731
19-Jun-23,0.45 Dividend,,,,,,
1-Jun-23,30.3,33.73,30.01,30.66,29.58,"33,047,266",0.926691729
1-May-23,31.01,33.11,29.83,30.3,29.24,"33,250,550",0.988505747
1-Apr-23,32.57,32.87,28.86,31.01,29.92,"34,174,221",1.023255814
1-Mar-23,31.83,32.63,29.66,32.6,31.46,"28,818,768",1.051470588
1-Feb-23,30.28,33.31,30.08,31.84,30.72,"36,081,263",0.976478067
